aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
90,-300,7806,-4,183,-34,-1.59,-8.10,7.42
21,-328,7660,-3,202,-35,-1.74,-10.80,7.96
-102,-365,7499,-2,222,-32,-1.89,-13.76,8.50
-268,-376,7374,2,245,-29,-2.03,-17.03,9.06
-523,-369,7276,7,272,-26,-2.11,-20.65,9.66
-886,-345,7193,10,302,-23,-2.17,-24.70,10.34
-1380,-298,7089,8,327,-18,-2.25,-29.14,11.10
-2026,-273,6935,2,340,-14,-2.42,-33.84,11.91
-2764,-260,6713,-6,340,-10,-2.72,-38.59,12.76
-3542,-193,6396,-13,327,-7,-3.14,-43.23,13.64
-4252,-189,6001,-20,303,-6,-3.73,-47.59,14.53
-4862,-97,5577,-26,266,-4,-4.44,-51.48,15.37
-5341,-19,5222,-29,217,2,-5.13,-54.73,16.01
-5668,36,5003,-28,179,10,-5.65,-57.36,16.41
-5949,97,4863,-28,159,16,-6.00,-59.65,16.66
-6234,128,4704,-33,152,19,-6.29,-61.80,16.75
-6560,134,4481,-41,154,17,-6.73,-63.95,16.67
-6957,154,4137,-50,155,14,-7.42,-66.15,16.42
-7374,110,3691,-55,144,10,-8.40,-68.26,15.95
-7713,48,3157,-54,129,5,-9.65,-70.18,15.32
-7964,-64,2599,-49,111,1,-11.10,-71.87,14.60
-8125,-177,2100,-40,97,0,-12.63,-73.36,13.94
-8223,-296,1723,-31,91,-1,-14.22,-74.71,13.50
-8276,-395,1455,-23,91,-2,-15.98,-76.01,13.43
-8338,-448,1302,-18,90,-2,-17.99,-77.28,13.70
-8472,-482,1225,-13,89,-2,-20.25,-78.51,14.31
-8711,-525,1180,-12,83,-2,-22.82,-79.64,15.19
-8985,-568,1143,-13,69,-3,-25.62,-80.59,15.98
-9255,-665,1094,-14,49,-6,-28.43,-81.26,16.34
-9472,-737,1022,-15,27,-9,-30.92,-81.62,16.04
-9612,-821,910,-15,3,-10,-32.48,-81.69,15.02
-9736,-909,721,-12,-20,-10,-32.98,-81.48,13.44
-9860,-971,492,-7,-45,-10,-32.31,-81.01,11.96
-9999,-996,299,2,-74,-10,-30.42,-80.22,10.87
-10132,-1012,264,15,-109,-9,-27.44,-79.02,10.49
-10210,-949,466,26,-154,-8,-23.65,-77.25,10.46
-10195,-815,922,29,-212,-5,-19.47,-74.70,10.18
-9998,-669,1577,24,-276,0,-15.48,-71.25,9.31
-9517,-672,2352,18,-322,4,-12.25,-66.98,8.19
-8833,-704,3181,14,-325,4,-10.00,-62.43,7.25
-8149,-682,3946,7,-307,4,-8.52,-58.03,6.50
-7527,-676,4535,-2,-286,5,-7.54,-53.92,5.78
-7001,-688,4931,-10,-275,6,-6.90,-50.00,5.08
-6555,-750,5188,-11,-274,9,-6.43,-46.16,4.44
-6161,-771,5360,-7,-282,11,-5.98,-42.27,3.89
-5803,-777,5542,-1,-295,14,-5.53,-38.22,3.44
-5420,-773,5817,5,-306,15,-5.04,-34.01,3.08
-4975,-766,6197,9,-308,15,-4.56,-29.72,2.81
-4466,-781,6601,10,-297,12,-4.16,-25.52,2.61
-3922,-822,6975,7,-277,7,-3.89,-21.56,2.46
-3397,-855,7258,2,-254,4,-3.76,-17.91,2.35
-2908,-846,7405,-2,-229,1,-3.72,-14.59,2.28
-2433,-811,7452,-3,-202,-3,-3.72,-11.65,2.27
-1984,-787,7463,1,-173,-8,-3.71,-9.11,2.34
-1590,-765,7485,8,-142,-13,-3.64,-6.98,2.51
-1301,-720,7544,14,-118,-16,-3.47,-5.24,2.73
-1076,-668,7625,16,-108,-16,-3.27,-3.69,2.96
-840,-638,7716,14,-106,-13,-3.07,-2.19,3.15
-604,-623,7828,12,-103,-11,-2.90,-0.73,3.31
-362,-606,7924,10,-99,-8,-2.77,0.68,3.43
-128,-568,8003,8,-92,-6,-2.64,2.00,3.51
96,-542,8065,7,-80,-5,-2.54,3.18,3.57
189,-307,8198,-1,-2,0,-1.92,1.60,6.16
191,-291,8200,-1,-1,1,-1.92,1.61,6.14
182,-272,8202,-1,-1,1,-1.93,1.61,6.12
154,-275,8205,0,-1,1,-1.93,1.60,6.11
135,-281,8194,0,-1,0,-1.92,1.61,6.09
128,-285,8181,0,-2,0,-1.92,1.61,6.09
137,-299,8168,0,-3,-1,-1.92,1.64,6.09
163,-310,8151,0,-3,-1,-1.92,1.67,6.10
185,-313,8138,0,-3,-1,-1.91,1.71,6.10
210,-326,8123,0,-3,0,-1.91,1.73,6.10
228,-342,8110,0,-2,0,-1.91,1.75,6.09
224,-359,8097,0,-1,1,-1.90,1.76,6.08
200,-364,8085,1,0,1,-1.90,1.75,6.06
168,-361,8081,1,1,0,-1.88,1.72,6.05
128,-361,8082,1,0,0,-1.86,1.70,6.04
91,-343,8094,1,0,-1,-1.83,1.68,6.04
74,-323,8108,2,-1,-1,-1.80,1.67,6.05
79,-302,8124,1,-1,-2,-1.78,1.66,6.07
92,-279,8128,1,0,-3,-1.76,1.65,6.09
97,-279,8133,1,1,-3,-1.74,1.62,6.12
113,-262,8134,1,2,-3,-1.72,1.58,6.15
142,-241,8135,1,2,-4,-1.70,1.55,6.20
181,-232,8163,2,5,-5,-1.66,1.49,6.26
223,-219,8223,3,9,-6,-1.61,1.38,6.32
292,-215,8311,3,16,-7,-1.55,1.19,6.41
388,-205,8406,2,27,-8,-1.51,0.88,6.51
489,-187,8506,1,41,-9,-1.48,0.39,6.63
574,-172,8567,-1,59,-10,-1.47,-0.33,6.76
596,-134,8609,-1,79,-10,-1.47,-1.33,6.89
565,-96,8620,-1,106,-11,-1.48,-2.67,7.04
453,-59,8595,0,140,-15,-1.48,-4.47,7.25
246,-34,8523,1,176,-22,-1.48,-6.76,7.56
-25,-18,8396,3,208,-30,-1.49,-9.53,8.01
-343,-36,8210,5,230,-37,-1.52,-12.66,8.61
