aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-685,157,8178,-7,-158,6,-0.97,3.28,0.31
-424,208,8262,-10,-169,8,-1.08,5.58,0.21
-196,191,8300,-12,-171,6,-1.23,7.94,0.13
-8,179,8245,-13,-172,2,-1.40,10.28,0.10
175,175,8098,-14,-175,-3,-1.56,12.66,0.15
271,205,7892,-15,-189,-7,-1.74,15.16,0.28
387,240,7633,-18,-221,-8,-1.93,18.05,0.45
578,263,7272,-23,-255,-7,-2.20,21.42,0.65
962,162,6891,-27,-281,-10,-2.56,25.22,0.95
1538,43,6575,-23,-275,-17,-2.89,29.10,1.36
2333,-34,6457,-9,-239,-28,-2.97,32.62,1.86
3226,-139,6524,9,-189,-41,-2.64,35.49,2.41
4076,-200,6720,22,-148,-48,-1.96,37.75,2.95
4725,-116,6861,23,-126,-43,-1.17,39.61,3.38
5130,-50,6919,12,-135,-29,-0.56,41.46,3.74
5342,-76,6775,-1,-159,-14,-0.31,43.58,4.07
5442,-89,6447,-12,-192,-1,-0.42,46.14,4.43
5522,-108,5939,-17,-211,6,-0.75,49.04,4.86
5574,-140,5411,-16,-215,6,-1.16,52.07,5.36
5698,-202,4980,-8,-202,-1,-1.43,54.98,5.90
5836,-274,4646,0,-173,-11,-1.41,57.53,6.44
5975,-333,4454,5,-150,-20,-1.07,59.70,6.99
6145,-322,4285,5,-134,-25,-0.51,61.61,7.61
6262,-244,4116,0,-126,-24,0.15,63.38,8.37
6328,-145,3855,-8,-127,-23,0.76,65.13,9.38
6415,-67,3497,-15,-133,-24,1.40,66.96,10.81
6507,-49,3084,-18,-138,-28,2.23,68.88,12.69
6658,-30,2690,-18,-144,-29,3.34,70.89,15.03
6937,10,2362,-16,-139,-29,4.75,72.87,17.74
7291,39,2102,-13,-121,-28,6.47,74.64,20.64
7640,58,1894,-10,-96,-30,8.57,76.04,23.48
7960,73,1718,-9,-72,-34,11.08,77.07,26.18
8193,106,1511,-10,-57,-35,13.83,77.82,28.83
8342,162,1254,-12,-57,-31,16.70,78.52,31.73
8464,218,969,-13,-59,-27,19.76,79.24,35.01
8606,250,715,-9,-55,-24,22.98,79.93,38.41
8789,264,538,-3,-43,-21,26.10,80.46,41.30
8987,262,486,2,-28,-18,28.80,80.79,43.24
9174,270,510,5,-13,-14,30.70,80.94,44.18
9426,240,619,5,5,-10,31.43,80.90,44.08
9701,174,762,4,32,-6,30.74,80.59,42.62
9920,152,898,3,63,-3,28.62,79.92,39.71
9993,197,974,0,89,1,25.67,78.92,36.07
9902,284,963,-5,105,5,22.51,77.69,32.52
9716,409,873,-9,108,10,19.56,76.38,29.64
9498,571,759,-10,102,16,16.99,75.14,27.36
9307,711,665,-7,94,22,14.69,74.02,25.43
9157,798,690,1,90,28,12.60,72.96,23.46
9084,847,898,11,97,32,10.67,71.83,21.20
9023,865,1273,20,117,34,8.89,70.42,18.55
8912,877,1810,25,145,35,7.28,68.59,15.72
8722,894,2435,24,173,33,5.93,66.31,13.04
8437,924,3005,15,197,28,4.81,63.62,10.89
8039,969,3408,1,212,22,3.90,60.68,9.43
-1246,-167,8094,1,-1,-2,-1.71,-8.57,0.38
-1240,-161,8129,0,-1,-2,-1.70,-8.55,0.40
-1229,-158,8150,-1,-2,-1,-1.70,-8.53,0.41
-1220,-157,8160,-2,-3,-1,-1.70,-8.50,0.42
-1203,-165,8159,-2,-3,-2,-1.73,-8.47,0.43
-1177,-171,8142,-2,-2,-2,-1.74,-8.43,0.45
-1141,-187,8131,-1,-2,-2,-1.75,-8.41,0.47
