aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-207,-4752,6670,108,0,-2,-31.69,-0.53,60.52
-268,-4519,6781,96,2,-2,-30.28,-0.56,60.92
-347,-4415,6892,90,4,-1,-29.00,-0.62,61.27
-451,-4381,7055,93,7,0,-27.71,-0.74,61.60
-615,-4370,7281,101,2,2,-26.34,-0.84,61.88
-788,-4354,7488,109,-15,4,-24.86,-0.80,62.07
-869,-4309,7575,113,-36,6,-23.32,-0.51,62.12
1066,682,8048,2,-4,1,5.12,7.35,65.93
1075,660,7995,2,-2,0,5.15,7.38,65.92
1070,654,7962,1,-1,-1,5.18,7.39,65.93
1062,666,7956,1,0,-1,5.20,7.40,65.94
1064,685,7974,2,0,-1,5.22,7.39,65.95
1056,701,8004,3,-2,-1,5.27,7.40,65.95
1047,711,8011,4,-3,0,5.33,7.43,65.96
1037,703,8013,5,-4,0,5.41,7.48,65.94
1024,681,8005,7,-6,0,5.50,7.54,65.94
1026,657,7983,8,-7,-1,5.61,7.63,65.94
1047,643,7973,9,-6,-2,5.73,7.70,65.95
1062,653,7965,10,-4,-3,5.87,7.76,65.98
1060,680,7944,10,-4,-3,6.02,7.81,66.01
1075,725,7916,9,-3,-3,6.17,7.84,66.05
1090,781,7904,8,-2,-3,6.29,7.87,66.08
1082,823,7887,7,-4,-2,6.40,7.91,66.09
1077,852,7875,8,-6,-2,6.52,7.96,66.12
1098,877,7867,10,-8,-1,6.66,8.06,66.15
1117,900,7853,12,-8,-1,6.83,8.16,66.16
1123,934,7835,13,-10,0,7.02,8.29,66.15
1138,961,7812,13,-12,1,7.21,8.44,66.15
1152,992,7812,12,-14,1,7.40,8.62,66.14
1176,1028,7827,13,-15,1,7.58,8.82,66.14
1196,1073,7802,13,-15,1,7.78,9.03,66.14
1199,1121,7770,10,-13,1,7.94,9.22,66.15
1195,1196,7782,4,-12,1,8.04,9.38,66.16
1200,1270,7813,-4,-12,1,8.04,9.52,66.16
1220,1271,7807,-12,-11,1,7.93,9.68,66.18
1216,1175,7794,-19,-13,1,7.69,9.84,66.20
1194,1016,7835,-21,-20,0,7.40,10.08,66.25
1183,851,7856,-17,-31,-2,7.13,10.45,66.35
1206,754,7784,-17,-38,-4,6.89,10.94,66.50
1263,728,7622,-26,-38,-5,6.59,11.46,66.67
1344,779,7414,-42,-34,-7,6.09,11.93,66.87
1523,826,7260,-61,-21,-7,5.35,12.28,67.08
1668,921,7140,-83,0,-8,4.32,12.37,67.27
1750,987,7047,-108,20,-8,2.98,12.17,67.43
1728,983,7018,-134,36,-7,1.25,11.74,67.57
1635,861,7041,-157,48,-6,-0.79,11.10,67.67
1533,648,7061,-175,55,-3,-3.13,10.35,67.73
1443,350,7036,-187,58,0,-5.68,9.55,67.74
1360,-24,7016,-189,61,1,-8.30,8.69,67.72
1242,-435,7119,-183,65,3,-10.88,7.80,67.65
1063,-795,7348,-174,61,6,-13.33,6.91,67.56
873,-1099,7553,-170,49,10,-15.70,6.13,67.38
723,-1404,7673,-171,42,15,-18.07,5.46,67.09
570,-1718,7758,-172,42,17,-20.46,4.80,66.74
423,-2066,7796,-174,42,17,-22.86,4.12,66.35
290,-2435,7817,-173,44,15,-25.28,3.43,65.96
182,-2809,7847,-169,45,14,-27.63,2.74,65.59
107,-3198,7829,-164,41,14,-29.91,2.08,65.19
10,-3568,7715,-159,32,16,-32.14,1.52,64.70
-52,-3956,7452,-151,21,17,-34.29,1.07,64.08
-79,-4309,7073,-142,15,18,-36.34,0.72,63.38
-112,-4616,6733,-133,15,19,-38.27,0.37,62.64
-84,-4889,6525,-126,15,20,-40.09,0.02,61.89
-27,-5130,6402,-122,15,21,-41.83,-0.34,61.12
10,-5384,6317,-120,12,21,-43.52,-0.67,60.26
44,-5605,6219,-119,10,20,-45.19,-0.96,59.37
79,-5747,6106,-120,14,18,-46.85,-1.27,58.47
81,-5895,5939,-122,14,16,-48.54,-1.57,57.55
37,-6120,5675,-121,11,15,-50.25,-1.83,56.55
-28,-6355,5346,-114,10,14,-51.91,-2.08,55.51
-84,-6568,5045,-102,10,13,-53.43,-2.32,54.47
-112,-6711,4894,-88,12,12,-54.75,-2.54,53.57
-156,-6847,4931,-79,14,13,-55.89,-2.80,52.75
-275,-6968,5124,-72,13,14,-56.90,-3.08,51.99
-372,-7084,5288,-69,2,14,-57.80,-3.31,51.13
-387,-7245,5237,-66,-8,12,-58.68,-3.42,50.12
-368,-7426,5012,-60,-9,9,-59.53,-3.47,49.11
-333,-7618,4771,-52,-9,6,-60.29,-3.48,48.18
