aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-467,1443,8094,8,-4,-2,10.17,-2.91,63.94
-418,1493,8084,9,-3,-1,10.30,-2.87,63.95
-365,1536,8084,10,-3,0,10.44,-2.82,63.95
-336,1571,8100,11,-3,1,10.61,-2.77,63.93
-324,1589,8122,12,-4,2,10.79,-2.71,63.88
-322,1583,8147,14,-4,3,10.99,-2.65,63.82
-330,1572,8167,16,-4,4,11.21,-2.59,63.76
-345,1569,8190,17,-4,3,11.45,-2.54,63.70
-354,1588,8212,19,-4,3,11.71,-2.48,63.63
-342,1644,8246,20,-4,2,12.00,-2.43,63.58
-318,1720,8286,21,-4,2,12.29,-2.38,63.53
-289,1794,8317,21,-5,2,12.60,-2.31,63.48
-262,1831,8328,21,-5,3,12.91,-2.22,63.41
-232,1832,8298,22,-5,3,13.22,-2.14,63.34
-170,1796,8245,23,-5,2,13.54,-2.06,63.29
-146,1773,8217,25,-2,0,13.88,-2.01,63.25
-151,1770,8227,28,-2,-1,14.25,-1.99,63.21
-148,1790,8250,32,-3,0,14.67,-1.95,63.18
-137,1837,8263,36,-5,0,15.15,-1.89,63.14
-126,1910,8247,40,-7,1,15.69,-1.80,63.07
-103,1981,8190,45,-9,2,16.31,-1.67,62.99
-52,2042,8083,51,-11,3,17.00,-1.50,62.90
43,2091,7935,56,-10,3,17.76,-1.32,62.79
118,2109,7747,61,-6,2,18.59,-1.19,62.66
157,2082,7552,67,-1,-1,19.49,-1.14,62.53
158,2058,7429,77,6,-4,20.51,-1.20,62.40
111,2102,7417,88,9,-5,21.68,-1.33,62.25
26,2171,7435,97,7,-4,22.98,-1.45,62.05
-29,2288,7463,106,2,-2,24.39,-1.51,61.82
-108,2433,7460,112,-3,-2,25.91,-1.50,61.56
-178,2611,7447,115,-8,-3,27.48,-1.46,61.31
-227,2802,7382,116,-12,-3,29.08,-1.35,61.04
-244,2937,7201,114,-13,-5,30.66,-1.22,60.79
-308,3019,6985,114,-7,-11,32.23,-1.19,60.57
-432,3053,6773,117,-3,-18,33.81,-1.30,60.38
-543,3137,6610,124,-2,-23,35.47,-1.49,60.21
-664,3290,6500,133,-4,-23,37.26,-1.69,60.00
-777,3490,6361,143,-13,-20,39.18,-1.80,59.72
-880,3677,6158,152,-25,-16,41.23,-1.77,59.41
-820,3999,5944,157,-28,-15,43.39,-1.65,59.02
-771,4393,5849,155,-27,-15,45.57,-1.54,58.56
-767,4804,5770,147,-28,-16,47.65,-1.46,58.10
-809,5152,5698,138,-27,-20,49.61,-1.45,57.68
-871,5387,5559,129,-28,-25,51.43,-1.51,57.35
-967,5554,5327,123,-29,-30,53.15,-1.63,57.11
-1012,5618,4999,122,-31,-34,54.84,-1.81,56.92
-1058,5623,4571,125,-32,-36,56.56,-2.02,56.71
-1047,5600,4048,134,-34,-35,58.41,-2.23,56.39
-976,5672,3572,149,-35,-32,60.47,-2.41,55.81
-906,5915,3204,161,-38,-25,62.73,-2.52,54.90
-768,6352,2967,166,-40,-19,65.09,-2.54,53.66
-582,6890,2824,161,-39,-17,67.40,-2.52,52.18
-465,7332,2729,151,-37,-17,69.58,-2.52,50.54
-405,7603,2560,141,-40,-17,71.60,-2.55,48.86
-338,7713,2219,135,-41,-19,73.53,-2.61,47.10
-332,7776,1795,132,-36,-20,75.44,-2.72,44.92
-320,7883,1364,130,-33,-22,77.33,-2.88,42.31
-305,8058,982,129,-27,-24,79.22,-3.12,39.11
-237,8274,682,125,-21,-24,81.06,-3.37,35.23
-146,8499,441,122,-18,-20,82.85,-3.59,30.68
-35,8754,227,118,-18,-15,84.58,-3.74,25.48
82,9002,53,111,-14,-11,86.22,-3.83,19.77
142,9305,-36,100,-10,-9,87.71,-3.89,13.89
177,9595,-85,86,-4,-8,89.00,-3.94,8.40
147,9793,-115,71,1,-7,90.06,-176.01,3.70
59,9867,-153,57,2,-5,90.92,-175.98,-0.14
-81,9810,-245,47,0,-1,91.64,-175.98,-3.32
-244,9671,-395,40,-3,4,92.24,-176.03,-6.08
-377,9499,-589,35,-5,6,92.78,-176.11,-8.62
-471,9358,-749,30,-4,7,93.26,-176.20,-10.86
-507,9300,-827,23,-2,8,93.64,-176.31,-12.65
-480,9319,-829,13,1,9,93.88,-176.45,-13.83
-441,9364,-803,-1,4,9,93.94,-176.60,-14.14
-412,9383,-798,-17,8,9,93.78,-176.75,-13.47
-415,9359,-794,-33,14,7,93.40,-176.89,-11.79
-481,9315,-773,-48,20,6,92.81,-177.00,-9.09
-587,9229,-734,-61,20,5,92.02,-177.07,-5.64
-723,9073,-732,-72,18,6,91.10,-177.14,-1.71
-856,8857,-772,-79,17,7,90.08,-177.21,2.48
-929,8636,-779,-83,16,7,89.00,-2.73,6.72
-927,8483,-702,-86,15,7,87.87,-2.66,10.93
-858,8430,-539,-91,14,10,86.66,-2.56,15.14
-758,8432,-371,-98,12,15,85.36,-2.39,19.34
-658,8411,-218,-107,14,19,83.93,-2.16,23.52
-622,8330,-83,-117,18,22,82.38,-1.89,27.55
-658,8196,59,-125,21,22,80.72,-1.65,31.36
-751,8043,208,-132,23,21,78.96,-1.44,34.90
-879,7824,384,-137,23,17,77.11,-1.30,38.18
-964,7590,585,-139,20,11,75.22,-1.25,41.25
-999,7406,827,-142,17,6,73.29,-1.27,44.10
-958,7289,1099,-145,14,2,71.31,-1.33,46.76
-824,7246,1428,-147,12,-1,69.30,-1.41,49.24
-611,7305,1813,-149,10,-1,67.25,-1.47,51.49
-305,936,8143,2,-2,7,6.72,-2.13,54.89
-292,948,8142,3,-2,7,6.77,-2.10,54.77
-288,958,8145,4,-1,8,6.84,-2.08,54.66
-292,957,8167,4,0,8,6.91,-2.06,54.54
-310,948,8198,5,0,8,6.98,-2.06,54.42
-349,944,8224,5,0,7,7.05,-2.06,54.31
-382,940,8245,5,0,6,7.13,-2.06,54.22
-393,959,8262,5,-1,5,7.20,-2.06,54.13
-385,988,8287,5,-1,5,7.29,-2.06,54.05
-377,1012,8304,5,-1,5,7.37,-2.04,53.96
-378,1031,8309,5,-1,5,7.45,-2.02,53.89
-372,1051,8311,5,-1,4,7.52,-2.00,53.81
-363,1077,8311,4,-2,4,7.59,-1.98,53.75
-354,1090,8300,4,-2,4,7.67,-1.96,53.69
-330,1107,8274,4,-3,4,7.73,-1.92,53.62
-297,1120,8230,4,-2,4,7.80,-1.88,53.56
-261,1128,8185,4,-2,4,7.87,-1.85,53.50
-232,1152,8156,5,-2,4,7.94,-1.81,53.43
-204,1170,8145,5,-2,5,8.03,-1.78,53.35
-187,1179,8134,6,-3,7,8.12,-1.73,53.25
-176,1169,8112,7,-3,9,8.23,-1.67,53.12
-172,1145,8090,9,-3,10,8.35,-1.61,52.97
-197,1095,8062,10,-3,10,8.49,-1.56,52.82
-247,1040,8031,13,-3,10,8.66,-1.51,52.67
-272,988,8029,16,-5,10,8.87,-1.44,52.51
-277,965,8012,19,-6,9,9.12,-1.34,52.36
-275,965,7990,22,-6,9,9.41,-1.25,52.22
-257,972,7939,24,-6,8,9.74,-1.15,52.08
-233,969,7858,27,-5,6,10.10,-1.07,51.96
-168,951,7751,32,-4,4,10.51,-0.99,51.87
-83,957,7645,38,-2,4,10.99,-0.94,51.76
-36,985,7548,46,-2,4,11.59,-0.90,51.65
-29,982,7423,57,-4,5,12.32,-0.83,51.51
7,1015,7350,70,-2,6,13.24,-0.78,51.33
41,1105,7395,83,-2,8,14.33,-0.71,51.09
23,1302,7532,93,-5,13,15.59,-0.62,50.77
26,1558,7726,99,-9,17,16.94,-0.45,50.37
-3,1838,7925,101,-12,19,18.36,-0.22,49.91
-40,2101,8045,102,-16,17,19.78,0.05,49.45
-64,2330,8054,103,-19,15,21.22,0.34,49.02
-80,2490,7911,107,-23,12,22.70,0.68,48.61
-33,2598,7726,114,-27,9,24.26,1.06,48.21
42,2728,7613,123,-26,9,25.94,1.44,47.76
66,2906,7564,130,-30,11,27.71,1.86,47.26
128,3118,7442,135,-36,14,29.57,2.38,46.67
266,3371,7329,135,-33,13,31.47,2.90,46.02
328,3648,7327,131,-25,8,33.32,3.29,45.37
265,3908,7378,123,-22,2,35.06,3.57,44.78
124,4138,7443,114,-23,-4,36.68,3.77,44.28
-40,4294,7441,106,-25,-10,38.17,3.90,43.92
-196,4380,7290,102,-29,-19,39.60,3.99,43.70
-308,4404,7041,104,-32,-26,41.04,4.04,43.58
-344,4469,6737,109,-35,-29,42.56,4.07,43.47
-267,4567,6451,114,-36,-32,44.17,4.10,43.35
-153,4752,6221,116,-37,-33,45.82,4.11,43.18
-55,4965,6056,119,-38,-34,47.52,4.11,42.96
10,5236,5953,120,-41,-33,49.24,4.12,42.71
70,5517,5820,120,-46,-31,50.96,4.16,42.42
130,5782,5626,118,-49,-30,52.68,4.23,42.10
200,5970,5289,115,-49,-32,54.37,4.28,41.78
221,6116,4952,115,-44,-36,56.06,4.23,41.43
298,6185,4583,115,-42,-40,57.74,4.09,41.04
392,6238,4195,118,-37,-42,59.47,3.88,40.54
480,6338,3805,121,-36,-41,61.24,3.65,39.90
566,6459,3441,125,-32,-40,63.07,3.38,39.02
560,6583,3164,130,-28,-38,64.96,3.10,37.87
446,6694,3007,135,-29,-36,66.90,2.79,36.51
394,6961,2937,137,-36,-33,68.86,2.52,35.00
439,7323,2898,132,-42,-31,70.77,2.31,33.41
574,7662,2774,121,-41,-33,72.55,2.09,31.83
696,7925,2604,109,-37,-35,74.18,1.83,30.25
801,8058,2322,102,-34,-36,75.67,1.52,28.69
876,8117,1990,98,-31,-34,77.11,1.21,26.99
910,8150,1646,96,-29,-31,78.52,0.92,25.09
945,8115,1309,97,-26,-30,79.96,0.63,22.92
921,8125,1094,97,-24,-26,81.38,0.37,20.50
860,8205,916,95,-25,-22,82.77,0.14,17.93
778,8303,780,90,-26,-21,84.09,-0.07,15.28
670,8437,698,84,-26,-20,85.31,-0.29,12.70
553,8600,641,76,-27,-20,86.42,-0.52,10.24
438,8801,608,66,-28,-19,87.39,-0.74,8.03
336,9003,538,55,-28,-17,88.20,-0.96,6.10
225,9163,416,42,-27,-16,88.84,-1.16,4.55
80,9201,210,32,-25,-16,89.33,-1.37,3.38
-32,9175,-70,25,-23,-13,89.74,-1.56,2.35
-101,9172,-321,20,-19,-9,90.09,-178.31,1.40
-135,9223,-507,15,-16,-5,90.37,-178.23,0.59
-107,9359,-583,7,-10,0,90.55,-178.22,0.03
-90,9556,-543,-5,-6,5,90.55,-178.29,-0.05
-97,9741,-443,-21,-1,10,90.34,-178.44,0.47
-124,9944,-301,-39,2,13,89.87,-1.38,1.79
-150,10125,-183,-61,6,14,89.10,-1.16,4.01
-234,10207,-123,-85,10,11,88.01,-1.00,7.22
-388,10090,-133,-105,10,3,86.64,-0.96,11.31
-563,9812,-189,-120,7,-3,85.06,-1.02,15.91
-685,9473,-301,-128,0,-2,83.38,-1.11,20.65
-708,9156,-385,-130,-5,1,81.66,-1.14,25.21
-643,8895,-405,-131,-10,6,79.93,-1.07,29.49
-566,8684,-288,-130,-9,14,78.21,-0.90,33.34
-524,1135,8130,2,0,5,7.58,-3.97,53.69
-526,1133,8140,2,0,5,7.62,-3.97,53.61
-540,1133,8156,2,0,6,7.67,-3.96,53.53
-552,1136,8163,2,-1,7,7.71,-3.95,53.44
-564,1137,8160,3,-1,7,7.76,-3.93,53.32
-567,1130,8151,3,-2,8,7.82,-3.90,53.21
-561,1124,8144,3,-2,8,7.88,-3.86,53.09
-566,1123,8138,3,-2,8,7.93,-3.82,52.97
-572,1106,8118,3,-3,8,7.99,-3.78,52.84
-573,1087,8097,4,-3,8,8.05,-3.73,52.72
-585,1070,8077,4,-3,8,8.11,-3.68,52.61
-579,1070,8061,4,-3,7,8.18,-3.64,52.50
-552,1087,8055,4,-3,7,8.25,-3.59,52.40
-530,1103,8053,4,-2,6,8.32,-3.55,52.30
-512,1117,8043,3,-1,6,8.38,-3.52,52.21
-503,1128,8036,3,-1,7,8.44,-3.50,52.10
-499,1133,8037,3,0,7,8.49,-3.49,52.01
-502,1144,8046,3,0,7,8.55,-3.49,51.90
-501,1141,8061,4,-1,7,8.61,-3.47,51.79
-509,1149,8070,4,-2,7,8.68,-3.45,51.68
-502,1155,8069,5,-2,7,8.76,-3.41,51.57
-480,1172,8062,6,-1,7,8.85,-3.38,51.47
-462,1183,8065,6,-1,7,8.94,-3.36,51.36
-446,1190,8072,7,-1,7,9.05,-3.34,51.25
-418,1222,8079,8,-1,6,9.16,-3.31,51.14
-392,1254,8098,9,0,7,9.31,-3.29,51.04
-368,1297,8122,10,0,7,9.46,-3.28,50.93
-357,1352,8166,12,0,7,9.63,-3.25,50.81
-346,1397,8207,13,-1,7,9.83,-3.22,50.70
-332,1415,8248,15,-2,7,10.06,-3.18,50.58
