ax,ay,az,gx,gy,gz,roll,pitch,target,target_name
562.0,-253.0,3683.0,9.0,-4.0,58.0,4.56,-7.82,0.0,right
534.0,-256.0,3671.0,-9.0,-8.0,53.0,4.56,-7.82,0.0,right
637.0,-273.0,3693.0,-143.0,-14.0,-3.0,4.44,-7.83,0.0,right
631.0,-285.0,3678.0,-151.0,-13.0,-7.0,4.43,-7.83,0.0,right
638.0,-303.0,3673.0,-159.0,-12.0,-12.0,4.41,-7.83,0.0,right
643.0,-312.0,3675.0,-167.0,-7.0,-15.0,4.4,-7.83,0.0,right
681.0,-349.0,3719.0,-207.0,66.0,-43.0,4.23,-7.78,0.0,right
678.0,-348.0,3712.0,-204.0,75.0,-45.0,4.22,-7.77,0.0,right
642.0,-361.0,3714.0,-201.0,83.0,-49.0,4.2,-7.77,0.0,right
639.0,-394.0,3715.0,-193.0,97.0,-62.0,4.19,-7.76,0.0,right
642.0,-331.0,3861.0,-85.0,339.0,-119.0,4.11,-7.51,0.0,right
678.0,-338.0,3857.0,-81.0,354.0,-122.0,4.11,-7.49,0.0,right
708.0,-358.0,3828.0,-69.0,377.0,-124.0,4.1,-7.46,0.0,right
635.0,-379.0,3842.0,-46.0,382.0,-126.0,4.1,-7.43,0.0,right
481.0,-353.0,3809.0,131.0,358.0,-54.0,4.17,-7.17,0.0,right
478.0,-338.0,3802.0,151.0,353.0,-40.0,4.18,-7.14,0.0,right
463.0,-320.0,3784.0,168.0,345.0,-24.0,4.19,-7.11,0.0,right
496.0,-320.0,3771.0,182.0,336.0,-11.0,4.2,-7.09,0.0,right
401.0,-275.0,3748.0,324.0,200.0,93.0,4.4,-6.94,0.0,right
413.0,-325.0,3784.0,338.0,179.0,103.0,4.42,-6.92,0.0,right
380.0,-298.0,3773.0,350.0,157.0,114.0,4.44,-6.91,0.0,right
395.0,-284.0,3781.0,362.0,132.0,122.0,4.46,-6.9,0.0,right
472.0,-250.0,3749.0,384.0,-51.0,174.0,4.7,-6.94,0.0,right
444.0,-225.0,3728.0,373.0,-66.0,174.0,4.72,-6.94,0.0,right
